"CD_MUNICIPIO";"NM_MUNICIPIO";"SG_UF";"NM_UF";"NM_REGIAO";"ID_MERCADO_RELEVANTE";"NM_MERCADO_RELEVANTE"
330360;"Paracambi";"RJ";"Rio de Janeiro";"Sudeste";999999;""
330370;"Paraíba do Sul";"RJ";"Rio de Janeiro";"Sudeste";999999;""
330380;"Paraty";"RJ";"Rio de Janeiro";"Sudeste";999999;""
315210;"Ponte Nova";"MG";"Minas Gerais";"Sudeste";315210;"Ponte Nova"
315213;"Ponto Chique";"MG";"Minas Gerais";"Sudeste";999999;""
315217;"Ponto dos Volantes";"MG";"Minas Gerais";"Sudeste";999999;""
315220;"Porteirinha";"MG";"Minas Gerais";"Sudeste";999999;""
315230;"Porto Firme";"MG";"Minas Gerais";"Sudeste";317130;"Viçosa"
315240;"Poté";"MG";"Minas Gerais";"Sudeste";316860;"Teófilo Otoni"
315270;"Prados";"MG";"Minas Gerais";"Sudeste";310620;"Belo Horizonte"
315280;"Prata";"MG";"Minas Gerais";"Sudeste";999999;""
315290;"Pratápolis";"MG";"Minas Gerais";"Sudeste";314790;"Passos"
316440;"São Sebastião da Bela Vista";"MG";"Minas Gerais";"Sudeste";315250;"Pouso Alegre"
316443;"São Sebastião da Vargem Alegre";"MG";"Minas Gerais";"Sudeste";314390;"Muriaé"
316447;"São Sebastião do Anta";"MG";"Minas Gerais";"Sudeste";999999;""
316460;"São Sebastião do Oeste";"MG";"Minas Gerais";"Sudeste";312230;"Divinópolis"
316470;"São Sebastião do Paraíso";"MG";"Minas Gerais";"Sudeste";316470;"São Sebastião do Paraíso"
316490;"São Sebastião do Rio Verde";"MG";"Minas Gerais";"Sudeste";999999;""
316500;"São Tiago";"MG";"Minas Gerais";"Sudeste";310620;"Belo Horizonte"
316510;"São Tomás de Aquino";"MG";"Minas Gerais";"Sudeste";316470;"São Sebastião do Paraíso"
316520;"São Thomé das Letras";"MG";"Minas Gerais";"Sudeste";999999;""
316530;"São Vicente de Minas";"MG";"Minas Gerais";"Sudeste";999999;""
316550;"Sardoá";"MG";"Minas Gerais";"Sudeste";312770;"Governador Valadares"
292640;"Riacho de Santana";"BA";"Bahia";"Nordeste";999999;""
292650;"Ribeira do Amparo";"BA";"Bahia";"Nordeste";999999;""
